target,K,fs,disc,score,accuracy,mean_prob_true,persistence_accuracy,majority_accuracy,majority_class,n_features_including_target,features,time_sec,model_pkl_path,edges_csv_path,exclude_other_throughputs,error
throughput_1,20,markov,dbscan,bic,0.4774774774774775,0.3904297307960785,0.4864864864864865,0.09109109109109109,43.0,16.0,"['buffer_size_2', 'data_quality_3', 'process_resident_memory_bytes_1', 'throughput_3', 'python_gc_objects_collected_total_7', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_3', 'python_gc_collections_total_3', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_collections_total_5', 'throughput_1']",6.7096825410000065,,,False,
throughput_1,20,markov,dbscan,aic,0.4774774774774775,0.3904297307960785,0.4864864864864865,0.09109109109109109,43.0,16.0,"['cores_3', 'python_gc_objects_collected_total_6', 'data_quality_3', 'python_gc_objects_collected_total_7', 'data_quality_2', 'data_quality_1', 'buffer_size_3', 'avg_p_latency_1', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_3', 'python_gc_collections_total_3', 'python_gc_collections_total_7', 'python_gc_collections_total_6', 'python_gc_collections_total_5', 'throughput_1']",6.942662040999949,,,False,
throughput_1,20,mrmr,classic_uniform,bic,,,,,,,,63.75539108300006,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,20,mrmr,classic_uniform,aic,,,,,,,,63.46526737500005,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,20,mrmr,classic_quantile,bic,0.998998998998999,0.4555459468570271,0.998998998998999,0.0,2.0,18.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'process_resident_memory_bytes_1', 'avg_p_latency_2', 'python_gc_objects_collected_total_8', 'scrape_duration_seconds_1', 'avg_p_latency_3', 'python_gc_collections_total_7', 'throughput_1']",63.172605207999936,,,False,
throughput_1,20,mrmr,classic_quantile,aic,0.998998998998999,0.4568440121601417,0.998998998998999,0.0,2.0,18.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'process_resident_memory_bytes_1', 'avg_p_latency_2', 'python_gc_objects_collected_total_8', 'scrape_duration_seconds_1', 'avg_p_latency_3', 'python_gc_collections_total_7', 'throughput_1']",64.33987779100005,,,False,
throughput_1,20,mrmr,kmeans,bic,0.998998998998999,0.4569428202983772,0.998998998998999,0.908908908908909,0.0,19.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'process_resident_memory_bytes_1', 'avg_p_latency_2', 'python_gc_objects_collected_total_8', 'scrape_duration_seconds_1', 'avg_p_latency_3', 'python_gc_collections_total_7', 'process_open_fds_1', 'throughput_1']",63.646230790999994,,,False,
throughput_1,20,mrmr,kmeans,aic,0.998998998998999,0.4566851606655054,0.998998998998999,0.908908908908909,0.0,19.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'process_resident_memory_bytes_1', 'avg_p_latency_2', 'python_gc_objects_collected_total_8', 'scrape_duration_seconds_1', 'avg_p_latency_3', 'python_gc_collections_total_7', 'process_open_fds_1', 'throughput_1']",64.05192312500003,,,False,
throughput_1,20,mrmr,dbscan,bic,0.4774774774774775,0.0838384156484167,0.4864864864864865,0.09109109109109109,43.0,18.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'process_resident_memory_bytes_1', 'avg_p_latency_2', 'python_gc_objects_collected_total_8', 'avg_p_latency_3', 'python_gc_collections_total_7', 'process_open_fds_1', 'throughput_1']",62.63665520799998,,,False,
throughput_1,20,mrmr,dbscan,aic,0.4774774774774775,0.0838384156484167,0.4864864864864865,0.09109109109109109,43.0,18.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'data_quality_1', 'process_virtual_memory_bytes_1', 'python_gc_objects_collected_total_2', 'throughput_2', 'data_quality_2', 'python_gc_objects_collected_total_1', 'throughput_3', 'python_gc_objects_collected_total_9', 'process_resident_memory_bytes_1', 'avg_p_latency_2', 'python_gc_objects_collected_total_8', 'avg_p_latency_3', 'python_gc_collections_total_7', 'process_open_fds_1', 'throughput_1']",63.34301954199998,,,False,
