target,K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
throughput_1,10,mrmr,dbscan,aic,0.4121996303142329,0.3844168405791034,9.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'data_quality_1', 'data_quality_2', 'buffer_size_3', 'throughput_1']",9.761514024925418,
throughput_1,10,pca,classic_uniform,bic,0.03789279112754159,0.22325212945752532,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput_1']",1.6860125389648601,
throughput_1,10,pca,classic_uniform,aic,0.32532347504621073,0.24896559120772332,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput_1']",2.5277223989833146,
throughput_1,10,pca,classic_quantile,bic,0.33271719038817005,0.3108492033203101,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput_1']",2.0606692729052156,
throughput_1,10,pca,classic_quantile,aic,0.27634011090573013,0.2877040487201844,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput_1']",6.856217434047721,
throughput_1,10,pca,kmeans,bic,0.33086876155268025,0.24240672448527747,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput_1']",1.9611719800159335,
throughput_1,10,pca,kmeans,aic,0.0,0.06560736357621574,11.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput_1']",4.357152107986622,
throughput_1,10,pca,dbscan,bic,,,,,0.28875700396019965,The node throughput_1_t1 is not in the digraph.
throughput_1,10,pca,dbscan,aic,0.0,0.011957040076265291,9.0,"['pca_1', 'pca_2', 'pca_5', 'pca_6', 'pca_7', 'pca_8', 'pca_9', 'pca_10', 'throughput_1']",1.9413426400860772,
throughput_1,12,markov,classic_uniform,bic,0.33271719038817005,0.24972370344662165,13.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_3', 'throughput_1']",5.744661181000993,
throughput_1,12,markov,classic_uniform,aic,0.6654343807763401,0.25046542317780074,13.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'process_cpu_seconds_total_1', 'python_gc_objects_collected_total_1', 'python_gc_collections_total_1', 'buffer_size_2', 'python_gc_collections_total_2', 'python_gc_objects_collected_total_2', 'python_gc_collections_total_3', 'throughput_1']",5.79498984804377,
