target,K,n_bins,fs,disc,score,accuracy,f1,precision,recall,log_loss,persistence_accuracy,persistence_f1,persistence_precision,persistence_recall,ar_dbn_accuracy,ar_dbn_f1,ar_dbn_precision,ar_dbn_recall,ar_dbn_log_loss,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,prec_tput1,prec_tput2,prec_tput3,rec_tput1,rec_tput2,rec_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,12,3.0,pca,classic_uniform,bic,0.6807720861172977,0.35036846730042087,0.391995579245722,0.364038871758707,0.7933466674375782,0.9198218262806236,0.8667046576671411,0.8667046576671411,0.8667046576671411,0.6993318485523385,0.2743556138051551,0.23311061618411286,0.3333333333333333,0.8011727464217471,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,1.199369987938553,0.4429768130648881,2.5906718000769615,1183.0,164.0,,,False,30,,,,0.6807720861172977,,,0.35036846730042087,,,0.391995579245722,,,0.364038871758707,,,0.7933466674375782
throughput_3,12,4.0,pca,classic_uniform,bic,0.43801039346696363,0.15491380470801863,0.12884206219312602,0.23481893302220627,1.1247168821428024,0.8960653303637713,0.8739650400990078,0.8739283064408108,0.8740025136017482,0.4669636228656273,0.1591599190283401,0.11674090571640683,0.25,1.1536480874518913,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,1.175534636946395,0.32043989514932036,2.314359077019617,1114.0,233.0,,,False,30,,,,0.43801039346696363,,,0.15491380470801863,,,0.12884206219312602,,,0.23481893302220627,,,1.1247168821428024
throughput_3,12,5.0,pca,classic_uniform,bic,0.4446919079435783,0.12312435765673176,0.08893838158871567,0.2,1.335460596786279,0.8975501113585747,0.8654618233401017,0.865403210650079,0.8655212373884347,0.4446919079435783,0.12312435765673176,0.08893838158871567,0.2,1.3522208052283375,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,0.9768433428835124,0.5254365899600089,2.5170311010442674,1020.0,327.0,,,False,30,,,,0.4446919079435783,,,0.12312435765673176,,,0.08893838158871567,,,0.2,,,1.335460596786279
throughput_3,12,6.0,pca,classic_uniform,bic,0.289532293986637,0.09230059725955758,0.14071637426900585,0.17024797926550694,1.5550809318548686,0.8485523385300668,0.7909169132399255,0.7909698965073431,0.790864649972387,0.2969561989606533,0.0763213127265789,0.049492699826775545,0.16666666666666666,1.5309676985598495,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,0.9381653408054262,0.50210902094841,2.4645829719956964,1035.0,312.0,,,False,30,,,,0.289532293986637,,,0.09230059725955758,,,0.14071637426900585,,,0.17024797926550694,,,1.5550809318548686
throughput_3,12,8.0,pca,classic_uniform,bic,0.24721603563474387,0.05396756831755546,0.14749245852187032,0.12238539630172696,1.816882326820203,0.8418708240534521,0.7728057606295672,0.7728315603982789,0.7727808756903132,0.25315515961395696,0.050503554502369666,0.03164439495174462,0.125,1.8518613254826721,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,0.7712752611842006,0.47688403888605535,2.238120298134163,905.0,442.0,,,False,30,,,,0.24721603563474387,,,0.05396756831755546,,,0.14749245852187032,,,0.12238539630172696,,,1.816882326820203
throughput_3,12,2.0,pca,classic_uniform,aic,0.8351893095768375,0.4550970873786408,0.41759465478841873,0.5,0.4519595131148842,0.9628804751299184,0.9325825825825826,0.9325825825825826,0.9325825825825826,0.8351893095768375,0.4550970873786408,0.41759465478841873,0.5,0.4509221326960408,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,1.5488348379731178,0.41070214402861893,2.837531801080331,1269.0,78.0,,,False,30,,,,0.8351893095768375,,,0.4550970873786408,,,0.41759465478841873,,,0.5,,,0.4519595131148842
throughput_3,12,3.0,pca,classic_uniform,aic,0.6659242761692651,0.3266973126600003,0.375524438024438,0.3453321269028143,0.8980576525230184,0.9198218262806236,0.8667046576671411,0.8667046576671411,0.8667046576671411,0.6993318485523385,0.2743556138051551,0.23311061618411286,0.3333333333333333,0.8011727464217471,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,2.1020870469510555,0.4930062110070139,3.5895101400092244,1183.0,164.0,,,False,30,,,,0.6659242761692651,,,0.3266973126600003,,,0.375524438024438,,,0.3453321269028143,,,0.8980576525230184
throughput_3,12,4.0,pca,classic_uniform,aic,0.4038604305864885,0.16959109769372735,0.22504578754578752,0.22873715456166105,1.191903104160661,0.8960653303637713,0.8739650400990078,0.8739283064408108,0.8740025136017482,0.4669636228656273,0.1591599190283401,0.11674090571640683,0.25,1.1536480874518913,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,1.9655713001266122,0.5875485129654408,3.597023363923654,1114.0,233.0,,,False,30,,,,0.4038604305864885,,,0.16959109769372735,,,0.22504578754578752,,,0.22873715456166105,,,1.191903104160661
throughput_3,12,5.0,pca,classic_uniform,aic,0.4357832219747587,0.142803730356116,0.20355555555555555,0.2001200687516962,1.4216266164280154,0.8975501113585747,0.8654618233401017,0.865403210650079,0.8655212373884347,0.4446919079435783,0.12312435765673176,0.08893838158871567,0.2,1.3522208052283375,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,2.9947088700719178,0.4284614520147443,4.329286995111033,1020.0,327.0,,,False,30,,,,0.4357832219747587,,,0.142803730356116,,,0.20355555555555555,,,0.2001200687516962,,,1.4216266164280154
throughput_3,12,6.0,pca,classic_uniform,aic,0.2709725315515961,0.11717243526567915,0.1478862182789313,0.1629397438002483,1.5547852826523887,0.8485523385300668,0.7909169132399255,0.7909698965073431,0.790864649972387,0.2969561989606533,0.0763213127265789,0.049492699826775545,0.16666666666666666,1.5309676985598495,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,2.1162325621116906,0.6475021650549024,3.8529705100227147,1035.0,312.0,,,False,30,,,,0.2709725315515961,,,0.11717243526567915,,,0.1478862182789313,,,0.1629397438002483,,,1.5547852826523887
throughput_3,12,8.0,pca,classic_uniform,aic,0.26651818856718634,0.07702734559170202,0.06418170351489837,0.13047613229064842,1.9468915714498338,0.8418708240534521,0.7728057606295672,0.7728315603982789,0.7727808756903132,0.25315515961395696,0.050503554502369666,0.03164439495174462,0.125,1.8518613254826721,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,1.3858020051848143,0.4366022457834333,2.7945145841222256,905.0,442.0,,,False,30,,,,0.26651818856718634,,,0.07702734559170202,,,0.06418170351489837,,,0.13047613229064842,,,1.9468915714498338
throughput_3,12,2.0,pca,classic_quantile,bic,0.5471417965850037,0.5370372457189735,0.5376747039974548,0.5371041817742326,0.6857260977339285,0.9547141796585004,0.9540158032026138,0.9541007097597565,0.9539319958101684,0.43875278396436523,0.30495356037151705,0.21937639198218262,0.5,0.6931471805599454,13.0,"pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,throughput_3",,,1.0600636859890074,0.5299319489859045,2.551833044970408,1167.0,180.0,,,False,30,,,,0.5471417965850037,,,0.5370372457189735,,,0.5376747039974548,,,0.5371041817742326,,,0.6857260977339285
