variable,variable_state,prob,data_quality,avg_p_latency,container_last_seen,cores,container_cpu_system_seconds_total,container_cpu_cfs_throttled_periods_total,container_memory_max_usage_bytes,container_cpu_cfs_periods_total,container_memory_cache,container_cpu_cfs_throttled_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,throughput,container_spec_cpu_quota
container_cpu_cfs_periods_total,1,0.5859649122807018,0.0,,,,,2.0,0.0,,,,,,,
container_cpu_cfs_periods_total,2,0.39649122807017545,0.0,,,,,2.0,0.0,,,,,,,
container_cpu_cfs_periods_total,0,0.0014518002322880372,1.0,,,,,2.0,0.0,,,,,,,
container_cpu_cfs_periods_total,1,0.36207897793263644,1.0,,,,,2.0,0.0,,,,,,,
container_cpu_cfs_periods_total,2,0.6364692218350755,1.0,,,,,2.0,0.0,,,,,,,
container_cpu_cfs_periods_total,0,0.005065856129685916,2.0,,,,,2.0,0.0,,,,,,,
container_cpu_cfs_periods_total,1,0.2786220871327254,2.0,,,,,2.0,0.0,,,,,,,
container_cpu_cfs_periods_total,2,0.7163120567375887,2.0,,,,,2.0,0.0,,,,,,,
container_cpu_cfs_periods_total,0,0.3333333333333333,0.0,,,,,2.0,1.0,,,,,,,
container_cpu_cfs_periods_total,1,0.3333333333333333,0.0,,,,,2.0,1.0,,,,,,,
container_cpu_cfs_periods_total,2,0.3333333333333333,0.0,,,,,2.0,1.0,,,,,,,
container_cpu_cfs_periods_total,0,0.0025176233635448137,1.0,,,,,2.0,1.0,,,,,,,
container_cpu_cfs_periods_total,1,0.41037260825780464,1.0,,,,,2.0,1.0,,,,,,,
container_cpu_cfs_periods_total,2,0.5871097683786505,1.0,,,,,2.0,1.0,,,,,,,
container_cpu_cfs_periods_total,0,0.0010794473229706388,2.0,,,,,2.0,1.0,,,,,,,
container_cpu_cfs_periods_total,1,0.3974525043177893,2.0,,,,,2.0,1.0,,,,,,,
container_cpu_cfs_periods_total,2,0.6014680483592401,2.0,,,,,2.0,1.0,,,,,,,
container_cpu_system_seconds_total,0,0.7284552845528456,0.0,,,,,,,0.0,0.0,,,,,
container_cpu_system_seconds_total,1,0.2016260162601626,0.0,,,,,,,0.0,0.0,,,,,
container_cpu_system_seconds_total,2,0.06991869918699188,0.0,,,,,,,0.0,0.0,,,,,
container_cpu_system_seconds_total,0,0.3333333333333333,1.0,,,,,,,0.0,0.0,,,,,
container_cpu_system_seconds_total,1,0.3333333333333333,1.0,,,,,,,0.0,0.0,,,,,
container_cpu_system_seconds_total,2,0.3333333333333333,1.0,,,,,,,0.0,0.0,,,,,
container_cpu_system_seconds_total,0,0.09009009009009006,2.0,,,,,,,0.0,0.0,,,,,
container_cpu_system_seconds_total,1,0.8198198198198197,2.0,,,,,,,0.0,0.0,,,,,
container_cpu_system_seconds_total,2,0.09009009009009006,2.0,,,,,,,0.0,0.0,,,,,
container_cpu_system_seconds_total,0,0.0009256687957048967,0.0,,,,,,,0.0,1.0,,,,,
container_cpu_system_seconds_total,1,0.16587984819031748,0.0,,,,,,,0.0,1.0,,,,,
container_cpu_system_seconds_total,2,0.8331944830139775,0.0,,,,,,,0.0,1.0,,,,,
container_cpu_system_seconds_total,0,0.0840258541089566,1.0,,,,,,,0.0,1.0,,,,,
container_cpu_system_seconds_total,1,0.9067405355493997,1.0,,,,,,,0.0,1.0,,,,,
container_cpu_system_seconds_total,2,0.009233610341643581,1.0,,,,,,,0.0,1.0,,,,,
container_cpu_system_seconds_total,0,0.3333333333333333,2.0,,,,,,,0.0,1.0,,,,,
container_cpu_system_seconds_total,1,0.3333333333333333,2.0,,,,,,,0.0,1.0,,,,,
container_cpu_system_seconds_total,2,0.3333333333333333,2.0,,,,,,,0.0,1.0,,,,,
container_cpu_system_seconds_total,0,0.0009119927040583674,0.0,,,,,,,0.0,2.0,,,,,
container_cpu_system_seconds_total,1,0.0009119927040583674,0.0,,,,,,,0.0,2.0,,,,,
container_cpu_system_seconds_total,2,0.9981760145918833,0.0,,,,,,,0.0,2.0,,,,,
container_cpu_system_seconds_total,0,0.020152314001171647,1.0,,,,,,,0.0,2.0,,,,,
container_cpu_system_seconds_total,1,0.21944932630345634,1.0,,,,,,,0.0,2.0,,,,,
container_cpu_system_seconds_total,2,0.7603983596953721,1.0,,,,,,,0.0,2.0,,,,,
container_cpu_system_seconds_total,0,0.3333333333333333,2.0,,,,,,,0.0,2.0,,,,,
container_cpu_system_seconds_total,1,0.3333333333333333,2.0,,,,,,,0.0,2.0,,,,,
container_cpu_system_seconds_total,2,0.3333333333333333,2.0,,,,,,,0.0,2.0,,,,,
container_cpu_system_seconds_total,0,0.04680272108843538,0.0,,,,,,,1.0,0.0,,,,,
container_cpu_system_seconds_total,1,0.6198639455782313,0.0,,,,,,,1.0,0.0,,,,,
container_cpu_system_seconds_total,2,0.33333333333333337,0.0,,,,,,,1.0,0.0,,,,,
container_cpu_system_seconds_total,0,0.6252859222291537,1.0,,,,,,,1.0,0.0,,,,,
container_cpu_system_seconds_total,1,0.3726346433770015,1.0,,,,,,,1.0,0.0,,,,,
container_cpu_system_seconds_total,2,0.002079434393844874,1.0,,,,,,,1.0,0.0,,,,,
container_cpu_system_seconds_total,0,0.46307172094678767,2.0,,,,,,,1.0,0.0,,,,,
container_cpu_system_seconds_total,1,0.5351486029542624,2.0,,,,,,,1.0,0.0,,,,,
container_cpu_system_seconds_total,2,0.001779676098949991,2.0,,,,,,,1.0,0.0,,,,,
container_cpu_system_seconds_total,0,0.02298850574712644,0.0,,,,,,,1.0,1.0,,,,,
container_cpu_system_seconds_total,1,0.9540229885057473,0.0,,,,,,,1.0,1.0,,,,,
container_cpu_system_seconds_total,2,0.02298850574712644,0.0,,,,,,,1.0,1.0,,,,,
container_cpu_system_seconds_total,0,0.9968890962824701,1.0,,,,,,,1.0,1.0,,,,,
container_cpu_system_seconds_total,1,0.0015554518587649713,1.0,,,,,,,1.0,1.0,,,,,
container_cpu_system_seconds_total,2,0.0015554518587649713,1.0,,,,,,,1.0,1.0,,,,,
container_cpu_system_seconds_total,0,0.6276112624886467,2.0,,,,,,,1.0,1.0,,,,,
container_cpu_system_seconds_total,1,0.3701180744777475,2.0,,,,,,,1.0,1.0,,,,,
container_cpu_system_seconds_total,2,0.002270663033605813,2.0,,,,,,,1.0,1.0,,,,,
