K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
12,markov,classic_quantile,bic,0.732,0.582784835282294,13.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'throughput']",8.21262258300004,
12,markov,classic_quantile,aic,0.732,0.42618168640402737,13.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'throughput']",8.43394916599999,
12,markov,kmeans,bic,0.44,0.3680975206872899,13.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'throughput']",8.16660116700001,
12,markov,kmeans,aic,0.44,0.3680975206872899,13.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'throughput']",8.332864041999983,
12,markov,dbscan,bic,0.0,0.029459059610466267,8.0,"['cores', 'data_quality', 'container_memory_cache', 'avg_p_latency', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_mapped_file', 'throughput']",7.715642749999972,
12,markov,dbscan,aic,0.0,0.030419882280306676,8.0,"['cores', 'data_quality', 'container_memory_cache', 'avg_p_latency', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_mapped_file', 'throughput']",7.7348233330000085,
12,mrmr,classic_uniform,bic,0.228,0.26075173575947963,11.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'container_last_seen', 'throughput']",6.0769372500000145,
12,mrmr,classic_uniform,aic,0.228,0.2667120156040863,11.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'container_last_seen', 'throughput']",6.258430166999972,
12,mrmr,classic_quantile,bic,0.732,0.4945114242885115,11.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'container_last_seen', 'throughput']",6.103236458000026,
12,mrmr,classic_quantile,aic,0.696,0.47420573589799964,11.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'container_last_seen', 'throughput']",6.264903207999964,
