target,K,n_bins,fs,disc,score,accuracy,mean_prob_true,mae,accuracy_t2,mae_t2,naive_dbn_accuracy,naive_dbn_mean_prob,naive_dbn_mae,persistence_accuracy,majority_accuracy,majority_class,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error
throughput_3,3,5.0,mrmr,classic_uniform,aic,0.8069784706755754,0.6962314459369928,24.387706013363026,,,0.4446919079435783,0.33940677500068733,94.76976985894579,0.8975501113585747,0.4446919079435783,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.11504682898521423,0.054940107045695186,2.2841017739847302,1313.0,34.0,,,False,30,
throughput_3,3,6.0,mrmr,classic_uniform,aic,0.40311804008908686,0.3603780244840225,73.5077786026561,,,0.2969561989606533,0.27455552805961125,104.94319887816549,0.8485523385300668,0.2969561989606533,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.12648168299347162,0.05848642601631582,2.306714416015893,1298.0,49.0,,,False,30,
throughput_3,3,8.0,mrmr,classic_uniform,aic,0.6896807720861173,0.574220422814353,33.06958673595645,,,0.25315515961395696,0.2102098971651681,116.10009898539964,0.8418708240534521,0.25315515961395696,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.12252530304249376,0.05843552993610501,2.307236674008891,1270.0,77.0,,,False,30,
throughput_3,3,2.0,mrmr,classic_quantile,bic,0.7876763177431328,0.7041658889396528,50.98599356594901,,,0.43875278396436523,0.5,134.7741648106904,0.9547141796585004,0.5612472160356348,1.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.0959264129633084,0.050247603096067905,2.263400304946117,1340.0,7.0,,,False,30,
throughput_3,3,3.0,mrmr,classic_quantile,bic,0.8374164810690423,0.7303695860305603,25.253695454920404,,,0.3838158871566444,0.33338282603316005,101.79754598696694,0.9034892353377877,0.3838158871566444,1.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.09949975600466132,0.0512449259404093,2.217295676935464,1332.0,15.0,,,False,30,
throughput_3,3,4.0,mrmr,classic_quantile,bic,0.48997772828507796,0.3957162142043983,86.6155159613957,,,0.12694877505567928,0.24998178393686932,131.78745360059392,0.9079435783221975,0.12694877505567928,0.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.09728043898940086,0.053793521015904844,2.221574041992426,1319.0,28.0,,,False,30,
throughput_3,3,5.0,mrmr,classic_quantile,bic,0.7149220489977728,0.6060286851419666,35.5742266765652,,,0.14996288047512993,0.20002942066045257,117.27908933432317,0.8626577579806979,0.14996288047512993,1.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.10439798701554537,0.056440884014591575,2.2327109980396926,1301.0,46.0,,,False,30,
throughput_3,3,6.0,mrmr,classic_quantile,bic,0.7728285077951003,0.5725601738864912,20.522304710055266,,,0.19970304380103934,0.1666703786191537,201.82587230883442,0.8596881959910914,0.19970304380103934,5.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.101276850909926,0.05835497099906206,2.2269872220931575,1284.0,63.0,,,False,30,
throughput_3,3,8.0,mrmr,classic_quantile,bic,0.7023014105419451,0.528183219813314,25.002932442464733,,,0.15293244246473645,0.12515339299953257,91.66214736451374,0.8433556050482554,0.15293244246473645,5.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.08755029598250985,0.06390839896630496,2.287681992049329,1245.0,102.0,,,False,30,
throughput_3,3,2.0,mrmr,classic_quantile,aic,0.6347438752783965,0.5959015425407452,87.71017074981438,,,0.43875278396436523,0.5,134.7741648106904,0.9547141796585004,0.5612472160356348,1.0,4.0,"throughput_2,buffer_size_3,throughput_1,throughput_3",,,0.10841240000445396,0.049126681056804955,2.274650844046846,1340.0,7.0,,,False,30,
